link,date,build_type,rooms,level,furniture,area,price_base,price_additional,location_approximation,location,animals,shower,bath,balcony,dishwasher,induction_stove,deposit,whole_text
https://www.otodom.pl/pl/oferta/oltaszyn-klimatyzacja-kawalerka-ID4jJxk.html,07.01.2023,apartamentowiec,1,4,True,41.0,2700.0,,ul. Zwycięska,,niepalącej i nieposiadającej zwierząt osobie. Najem na minimum 1 ro,False,False,False,True,False,380,"Do wynajęcia komfortowe mieszkanie z klimatyzacją. Znajduje się na ostatnim piętrze czteropiętrowego budynku z windą, na Ołtaszynie / Partynicach. Powierzchnia całkowita lokalu wynosi 41m2. Kawalerka składa się z pokoju połączonego z aneksem kuchennym, garderoby, przedpokoju i łazienki. Mieszkanie wyposażone jest w pralkę, zmywarkę do naczyń, mikrofalówkę, kuchenkę z piekarnikiem, lodówkę z zamrażarką oraz telewizor. W pokoju znajduje się rozkładany narożnik z pojemnikiem na pościel. Cena to 2700 zł/miesiąc + opłaty (czynsz ok. 380 zł + media) + kaucja. Mieszkanie jest do wynajęcia niepalącej i nieposiadającej zwierząt osobie. Najem na minimum 1 rok.  For rent a comfortable apartment with air conditioning. It is located on the top floor of a four-story building with an elevator, in Ołtaszyn / Partynice. The total area of ​​the premises is 41m2. The studio apartment consists of a room connected to a kitchenette, a dressing room, a hall and a bathroom. The apartment is equipped with a washing machine, dishwasher, microwave, stove with oven, fridge with freezer and TV. There is a sofa bed in the room with a container for bedding. The price is PLN 2700/month + fees (approx. PLN 380 + utilities) + deposit. The apartment is for rent to a non-smoking and pet-free person. Lease for a minimum of 1 year. Wypozażenie: zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka."
https://www.otodom.pl/pl/oferta/rezerwacja-kawalerka-jaworska-burban-ID4jHqO.html,07.01.2023,blok,1,7,True,26.0,2500.0,,ul. Jaworska,Jaworska 4,"ferowane osoby niepalące, bez zwierząt.",False,False,False,True,True,"4.000,00","Wynajmę lokal - nowoczesną kawalerkę w inwestycji B Urban (ul. Jaworska 4- obok Biznes Garden i galerii Magnolia). Pierwszy najem od zaraz  Lokal mieści się na siódmym piętrze. Mieszkanie (26m2) jest bardzo doświetlone i zostało oddane do użytku w grudniu 2022r.: -w pokoju: 2-osobowa kanapa, duża szafa, stolik kawowy, konsola, łóżko 160x200, - w kuchni: lodówka+zamrażarka, zmywarka, indukcja, okap, podstawowe naczynia, - w łazience: wc, szafka z umywalką, lustro, prysznic.  W budynku znajduje się winda, rowerownia i pralnia.   Mieszkanie znajduje się w bardzo dobrej lokalizacji:  obok Biznes Garden (35 tys. miejsc pracy), przy Dworcu PKP Mikołajów, bezpośrednio przed budynkiem Dolnośląskiej Szkoły Wyższej, w niedalekiej odległości od Wyższej Szkoły Bankowej i Magnolia Park.  Bardzo dobre połączenie komunikacyjne z pozostałą częścią miasta. Blisko sklepy oraz punkty usługowe.  Opłaty miesięczne: 2.500,00 zł czynsz + 400,00 zł media. Kaucja zwrotna: 4.000,00 zł   Mieszkanie dostępne od stycznia 2023 br. Preferowane osoby niepalące, bez zwierząt.  Wynajem bezpośrednio od właściciela. Zapraszam na prezentacje po wcześniejszym umówieniu (tel. 603 583 777) Wypozażenie: zmywarka, lodówka, meble, piekarnik, kuchenka."
https://www.otodom.pl/pl/oferta/nowa-kawalerka-100-wyposazona-balkon-maslice-ID4hY03.html,07.01.2023,blok,1,2,True,20.0,2100.0,,Wrocław,,,False,False,False,True,False,,"Obsługa zdalna Wypozażenie: zmywarka, lodówka, meble, kuchenka, pralka."
https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-szczepin-ul-lubinska-CID3-IDSyPDv.html,07.01.2023,Blok,Kawalerka,4,Tak,"26,70 m²",1900.0,470.0,Stare Miasto,,,False,False,False,False,False,2500,"Do wynajęcia kawalerka z półotwartą kuchnią dla jednej lub dwóch osób. Przeznaczona dla osób niepalących. Słoneczna i schludna z najważniejszym wyposażeniem oraz AGD. LOKALIZACJA: Mieszkanie znajduje się w Centrum miasta, przez co jest bardzo dobrze skomunikowane z każdą częścią Wrocławia. Do przystanku tramwajowego czy autobusowego 5 min pieszo. Pomimo bliskości ulicy Legnickiej mieszkanie jest ciche, pokój z oknami skierowanymi na zieleń osiedla. W okolicy pełna infrastruktura usługowa tj.: piekarnia, sklepy spożywcze i markety oraz przychodnia. BUDYNEK: Mieszkanie znajduje się na 4 piętrze budynku 4 piętrowego z lat '70. Na osiedlu są ogólnodostępne miejsca parkingowe. MIESZKANIE: Mieszkanie o powierzchni 26,7 m2 składa się z: - Półotwartej kuchni, - Dużego pokoju z dwuosobowym łóżkiem, - Łazienki z prysznicem, - Przedpokoju.  CENA: 1900 PLN - czynsz najmu 470 PLN - opłaty administracyjne + prąd oraz gaz według zużycia Kaucja 2500 PLN Mieszkanie może być wolne od 1.02.2023"
https://www.otodom.pl/pl/oferta/centrum-wroclawia-ul-traugutta-mieszkanie-43m2-ID4jKwc.html,07.01.2023,apartamentowiec,2,5,True,43.0,3300.0,,Wrocław,,,False,False,True,True,False,,"Wrocław centrum miasta ,bardzo dobra lokalizacja pięć minut od samego rynku ,bliskość z uczelniami dziesięć minut od Placu Grunwaldzkiego ,przy  inwestycji znajdują się przystanki autobusowe oraz tramwajowe . Sąsiedztwo z siecią sklepów, centrum handlowe pięć minut od galerii na ul. Dominikańskiej ,restauracji itp. Ul. Traugutta jedna z najstarszych ulic Wrocławia na ,której została zaprojektowana oryginalnie inwestycja mająca na celu łączenie nowoczesności z bogatym dziedzictwem natury. Komfort mieszkańcom zapewnia m.innymi przestronne lobby z całodobową ochroną ,centrum fitness i strefa SPA ,dostęp do miejsc postojowych ,przewidziano również stacje ładowania pojazdów elektrycznych ,rowerownie oraz dzienny pokój zabaw dla dzieci, korzystanie z kilku wind od poziomu -2 do 6-piętra .  Ponadto mieszkańcy tych apartamentów mogą korzystać z zagospodarowanych terenów zieleni na zewnątrz dziedzińcu ,jak i też na części dachów ,lokali użytkowych z usługami znajdującymi się na parterze budynku. Mieszkanie znajduje się na 5-piętrze z ładnymi widokami ,z dwoma balkonami tzw  francuskimi ,z salonem połączonym z kuchnią ,oddzielną sypialnią ,WC z łazienką i dużym przedpokojem. Apartament został wykończony nowocześnie ,w pełni wyposażony ,wideo domofon ,monitoring w budynku ,wszystkie media miejskie ,kaucka wymagana przy podpisaniu umowy najmu minimum na rok . Polecam ! Jolanta 507 190 976 Licencja Nr 23112  Wypozażenie: zmywarka, lodówka, meble, kuchenka, pralka."
https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-51m2-z-aneksem-kuchennym-ID4jybP.html,07.01.2023,blok,3,,True,51.0,3200.0,,Wrocław,,,False,False,False,True,False,,"Obsługa zdalna Wypozażenie: zmywarka, lodówka, meble, piekarnik, kuchenka, pralka."
https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-36m2-z-aneksem-kuchennym-ID4jx6x.html,07.01.2023,blok,2,,True,36.0,2350.0,,Wrocław,,,False,False,False,True,False,,"Obsługa zdalna Wypozażenie: zmywarka, lodówka, meble, piekarnik, kuchenka, pralka."
https://www.olx.pl/d/oferta/2-pok-mieszkanie-na-wynajem-z-balkonem-msc-parking-centrum-rynek-CID3-IDSxVis.html,07.01.2023,Blok,2 pokoje,4,Tak,56.0,3000.0,400.0,Stare Miasto,,,False,False,False,False,False,,"Witam, mam do zaoferowania mieszkanie w samym centrum Wrocławia. Lokum posiada dwa duże pokoje - nadające się na wynajem dla 3 osób, które się uczą(studiują). Oba pokoje są nieprzechodnie. Mieszkanie posiada osobny aneks kuchenny z jadalnią oraz łazienkę z WC. Każde z pomieszczeń jest całkowicie wyposażone i umeblowane. Mieszkanie mieści się na 4 piętrze, posiada balkon i jest odświeżone(wyremontowane) w listopadzie 2022. Istnieje szansa parkowania auta za bramką do której przydzielony jest pilot. Przy ulicy Piotra Skargi są przystanki zarówno autobusowe jak i tramwajowe. Apartament zlokalizowany jest w centrum Wrocławia, a w bezpośredniej bliskości znajdziemy tereny zielone (park M.Kopernika), skwer (fosa miejska) oraz niezbędne sklepy (galeria dominikańska). Mieszkanie możliwe do wynajęcia od zaraz. Trzeba umówić się na wizję, wcześniej kontaktując się pod nr tel sześć 66 sześć 01 pięć 80. Umowa najmu do podpisania - min. na 1 rok."
https://www.otodom.pl/pl/oferta/nowe-przepiekne-mieszkanie-2pokojowe-40mkw-premium-ID4jpsr.html,07.01.2023,blok,2,1,True,40.0,3000.0,,ul. Kwidzyńska,Kwidzyńskiej 15,ny zakaz palenia i posiadania zwierząt! Brak zgody na mieszkanie z d,False,False,True,True,True,5.000,"Do wynajęcia przepiękne, komfortowe mieszkanie 2pokojowe na wyjątkowym, zamkniętym osiedlu.   Mieszkanie zlokalizowane jest przy ul. Kwidzyńskiej 15 i zostało wybudowane w 2022 roku w ramach inwestycji Perspective Wille Miejskie przez znanego dewelopera.  W pobliżu znajduje się sklep spożywczy. W odległości 1 km znajdują się mosty Jagiellońskie i wejście na wały wzdłuż rzeki, skąd można spacerować, biegać, jeździć na rowerze - nieopodal Hotel Gem, Morskie Oko, Stadion Olimpijski.  450m – sklep spożywczy 800m – Browar Profesja 900m – 3M 1km – wały rekreacyjne wzdłuż Odry 1,5km - Centrum Handlowe Korona 3km - Plac Grunwaldzki   Mieszkanie posiada powierzchnię blisko 40 mkw i składa się z: 1. salonu z przestronnym balkonem 2. aneksu kuchennego z piekarnikiem, płytą indukcyjną i zmywarką, 3. komfortowej sypialni z miejscem do pracy, 4. łazienki  5. przedpokoju  Mieszkanie zostało dopiero wykończone, zatem będzie to pierwszy najem.  Wysoki standard wykończenia i dbałość o szczegóły!  Wysokiej jakości materiały wykończeniowe. Markowe sprzęty. Meble kuchenne na wymiar.  Budynek wyposażony jest w windę. Wjazd na osiedle kontrolowany i monitorowany. Teren inwestycji jest pięknie zagospodarowany, przed bramą sporo zieleni, ławeczki, piękne nasadzenia, stojaki na rowery. Miejsca postojowe przed osiedlem. Istnieje możliwość wynajęcia miejsca postojowego na parkingu podziemnym.  Wyposażenie Łazienka:  - stelarz WC podtynkowy, - nowa armatura sanitarna - spora kabina prysznicowa  - pralka   Kuchnia: - zmywarka - lodówka z zamrażarką - piekarnik - płyta indukcyjna na 4 miejsca - okap wpięty do komina - komplet garnków i naczyń - kompletne wyposażenie   Ogólne: - telewizor - internet i tv w cenie! - żelazko - deska do prasowania - suszarka na ubrania - mop - odkurzacz  Mieszkanie przeznaczone jest dla maksymalnie 2 osób. Obowiązuje kategoryczny zakaz palenia i posiadania zwierząt! Brak zgody na mieszkanie z dziećmi. Szukam najemcy/pary najemców, którzy szanują przestrzeń, w której żyją, dbają o mieszkanie, z którego korzystają, a utrzymanie czystości to u nich nawyk, a nie przykry obowiązek.  Całkowite koszty za mieszkanie to 3.000 zł miesięcznie + 500 zł miesięcznie zaliczki na opłaty na media + 100 zł miesięcznie zaliczki na prąd (do rozliczenia na koniec okresu najmu). Kaucja gwarancyjna 5.000 zł. Umowa najmu okazjonalnego na minimum rok. Mieszkanie dostępne od zaraz.   Pośrednikom i biurom nieruchomości dziękuję. Nie jestem zainteresowana współpracą.   Wypozażenie: zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka."
https://www.olx.pl/d/oferta/nowa-kawalerka-do-wynajecia-pierwszy-najemca-ul-legnicka-wroclaw-CID3-IDS3ONw.html,07.01.2023,Apartamentowiec,Kawalerka,4,Tak,"26,95 m²",2800.0,400.0,Fabryczna,,i nie mogą zamieszkiwać żadne zwierzęta.,False,False,False,False,False,,"NOWA KAWALERKA DO WYNAJĘCIA – PIERWSZY NAJEMCA – UL. LEGNICKA, WROCŁAW Do wynajęcia mieszkanie o powierzchni 26.95 m2 – pokój z aneksem kuchennym + łazienka – na 4. piętrze nowo wybudowanego bloku. Do dyspozycji wynajmującego rownież komórka lokatorska o powierzchni 3.78m2 w tym samym budynku, a także dostęp do wspólnej rowerowni.   W pełni wyposażone i umeblowane mieszkanie, w tym meble na wymiar – bardzo wysoki standard wykończenia.   Doskonała lokalizacja w centrum miasta – w pobliżu liczne przystanki tramwajowe i autobusowe, dworzec PKP Mikołajów, CH Magnolia, kompleks Business Garden, kino Helios, CH Astra oraz supermarket Kaufland. Na parterze budynku – sklepy Biedronka, Żabka, Hert oraz Fresh Market, a także 2 restauracje. Niedaleko basen Orbita, Park Popowicki, wały rekreacyjne nad Odrą oraz wiele mniejszych sklepów, punktów usługowych i lokali gastronomicznych.   Poszukiwany długoterminowy najemca – min. okres wynajmu to 12 miesiący.  Miesięczny czynsz: PLN 2800.00 (nie zawiera opłat za media, czynszu spółdzielczego i innych opłat eksploatacyjnych) Kaucja w wysokości 3 x miesięczny czynsz (PLN 8400.00) Miesięczna zaliczka na opłaty za media, czynsz spółdzielczy i inne opłaty eksploatacyjne: PLN 400.00 + okresowe rozliczenia zgodnie z rzeczywistym zużyciem Dodatkowo możliwość wynajęcia miejsca postojowego w garażu podziemnym za PLN 300.00 miesięcznie (osobna umowa najmu i osobna kaucja). Powyższe należności nie podlegają negocjacji.   Wymagane podpisanie umowy najmu oraz stosownych oświadczeń notarialnych.  Tylko osoby pełnoletnie, niekarane, niepalace i ze stałym zatrudnieniem.   W nieruchomości nie mogą zamieszkiwać żadne zwierzęta.   Wynajem bezpośrednio od wlaściciela.  Kontakt telefoniczny w godzinach 10:00-18:00."
